"Category","Question","annotation_id","annotator","created_at","id","lead_time","updated_at"
"Computer Networks"," Based on the screenshot showing the switch configuration, it can be concluded that","27","1","2023-11-20T16:54:05.181592Z","21","4.749","2023-11-20T16:54:05.181592Z"
"Operating Systems or Administration"," A VPN connection powered by Windows Server in which users are authenticated over unsecured connections, and only after the authentications are exchanged does encryption begin.","28","1","2023-11-20T16:54:11.082302Z","22","5.495","2023-11-20T16:54:11.082302Z"
"Computer"," An electronic device can be used to check the correct waveforms and voltage values of the system","29","1","2023-11-20T16:54:37.566734Z","23","26.09","2023-11-20T16:54:37.566734Z"
"Operating Systems or Administration","Using the tar –xf data.tar command on Linux will result","30","1","2023-11-20T16:54:40.631363Z","24","2.645","2023-11-20T16:54:40.631363Z"
"Computer"," The Award BIOS POST text message ""Display switch is set incorrectly"" indicates","31","1","2023-11-20T16:54:51.931953Z","25","10.921","2023-11-20T16:54:51.931953Z"
"Computer"," The program can be used to monitor the condition of hard drives in servers, desktop computers and laptops","32","1","2023-11-20T16:55:05.796722Z","26","13.435","2023-11-20T16:55:05.796722Z"
"Operating Systems or Administration"," To trace the route of packets to a website server in Windows, use the command","33","1","2023-11-20T16:55:12.344146Z","27","6.148","2023-11-20T16:55:12.344146Z"
"Others"," The service technician reached the customer located 11 km away from the company's headquarters and performed the repair activities listed in the table. Indicate the total gross cost of his work if traveling to the client costs PLN 1.20 gross/km and it is counted both ways. The VAT rate for services is 23%.","34","1","2023-11-20T16:56:22.664530Z","28","32.822","2023-11-20T16:56:22.664530Z"
"Operating Systems or Administration"," Windows must be configured for the icons shown in the image to appear on the Taskbar","35","1","2023-11-20T16:56:26.538272Z","29","3.457","2023-11-20T16:56:26.538272Z"
"Computer Networks"," After analyzing the presented results of the configuration of network cards installed on the computer, it can be concluded that:","36","1","2023-11-20T16:56:38.314456Z","30","11.373","2023-11-20T16:56:38.314456Z"
"Operating Systems or Administration","In Windows, analyzing the impact of running programs on computer performance is possible, among other things, by using the command","37","1","2023-11-20T16:56:43.004869Z","31","4.248","2023-11-20T16:56:43.004869Z"
"Operating Systems or Administration"," In Linux, the cd ~ command is used for","38","1","2023-11-20T16:56:45.499072Z","32","2.033","2023-11-20T16:56:45.499072Z"
"Operating Systems or Administration"," In Windows Server, sharing a folder as a network resource, visible on the workstation as a drive marked with a letter, is possible by performing the operation","39","1","2023-11-20T16:56:48.732327Z","33","2.801","2023-11-20T16:56:48.732327Z"
"Operating Systems or Administration"," The Samba server allows you to share files and printers across the network using a daemon","40","1","2023-11-20T16:56:51.031790Z","34","1.934","2023-11-20T16:56:51.031790Z"
"Computer Networks"," Which DNS record should I add in the forward lookup zone to map a DNS domain name to an IP address?","41","1","2023-11-20T16:56:55.892122Z","35","4.421","2023-11-20T16:56:55.892122Z"
"Operating Systems or Administration"," The net accounts command in the Windows Command Prompt to set the maximum number of days for a password to expire requires the use of","42","1","2023-11-20T16:56:59.197864Z","36","2.858","2023-11-20T16:56:59.197864Z"
"Operating Systems or Administration"," In Windows Server, the tool that allows you to manage Group Policy is","43","1","2023-11-20T16:57:03.598323Z","37","3.993","2023-11-20T16:57:03.598323Z"
"Operating Systems or Administration"," tool enabling remote control of a local network user by tracking his activities or taking complete control over a remote machine is the program","44","1","2023-11-20T16:58:46.928928Z","38","102.932","2023-11-20T16:58:46.928928Z"
"Operating Systems or Administration"," On a computer with two systems installed - Windows and Linux, the second system does not start after reinstalling Windows. To restore the ability to boot your Linux system and not to lose the data and settings stored in it, you should:","45","1","2023-11-20T16:59:03.482661Z","39","16.105","2023-11-20T16:59:03.482661Z"
"Operating Systems or Administration"," The message displayed after running the Windows repair tool may indicate:","46","1","2023-11-20T16:59:07.815604Z","40","3.854","2023-11-20T16:59:07.815604Z"
"Informatics Basics"," It is marked with the letter symbol P","47","1","2023-11-20T16:59:35.315399Z","41","27.04","2023-11-20T16:59:35.315399Z"
"Informatics Basics"," Indicate the correct way to write the number -1210 using the sign-modulus method as an eight-bit binary number.","48","1","2023-11-20T16:59:42.681796Z","42","6.917","2023-11-20T16:59:42.681796Z"
"Computer"," An electronic component capable of accumulating an electric charge is","49","1","2023-11-20T16:59:47.531451Z","43","4.402","2023-11-20T16:59:47.531451Z"
"Computer"," The element responsible for data exchange between the processor and the PCI-E bus is","50","1","2023-11-20T16:59:52.222492Z","44","4.251","2023-11-20T16:59:52.222492Z"
"Others"," The symbol shown, used in technical documentation, means","51","1","2023-11-20T17:00:17.430568Z","45","24.769","2023-11-20T17:00:17.430568Z"
"Computer"," The power of the power supply is 450 W, i.e","52","1","2023-11-20T17:00:21.214271Z","46","3.318","2023-11-20T17:00:21.214271Z"
"Computer","To assemble a computer from components using an SFF case, you must choose a standard motherboard","53","1","2023-11-20T17:00:24.947839Z","47","3.342","2023-11-20T17:00:24.947839Z"
"Computer"," To increase the performance of an Intel processor by overclocking it, you can use a marked processor","54","1","2023-11-20T17:00:29.719999Z","48","4.358","2023-11-20T17:00:29.719999Z"
"Operating Systems or Administration"," There is a command to delete files or directories in Linux","55","1","2023-11-20T17:00:32.486817Z","49","2.372","2023-11-20T17:00:32.486817Z"
"Operating Systems or Administration"," Upgrading to a higher version of Ubuntu Linux is possible with the command","56","1","2023-11-20T17:00:37.448700Z","50","4.547","2023-11-20T17:00:37.448700Z"
"Operating Systems or Administration"," To enable or disable services in the installed Windows operating system, you can use the snap-in","57","1","2023-11-20T17:00:44.914680Z","51","7.051","2023-11-20T17:00:44.914680Z"
"Computer Networks"," Which figure shows the topology of a bus network?","58","1","2023-11-20T17:00:48.224488Z","52","2.87","2023-11-20T17:00:48.224488Z"
"Computer Networks"," The token transfer technique is used in topology","59","1","2023-11-20T17:01:27.065588Z","53","38.403","2023-11-20T17:01:27.065588Z"
"Computer Networks"," Which protocols transmit periodic copies of the routing tables to a neighboring router and do not have complete information about distant routers?","60","1","2023-11-20T17:01:32.969759Z","54","5.493","2023-11-20T17:01:32.969759Z"
"Computer Networks"," How many collision and broadcast domains are visible in the diagram?","61","1","2023-11-20T17:01:38.415021Z","55","5.074","2023-11-20T17:01:38.415021Z"
"Legal","The principles of building a structured cabling system, specification of cable parameters and testing procedures applicable in Poland are included in the standards","62","1","2023-11-20T17:01:52.964952Z","56","14.19","2023-11-20T17:01:52.964952Z"
"Computer Networks"," Which address pool enables multicast communication in a network using IPv6 addressing?","63","1","2023-11-20T17:01:58.224955Z","57","4.857","2023-11-20T17:01:58.224955Z"
"Computer Networks"," The given network has the address 192.168.100.0/24. How many subnets can be separated from it using the mask 255.255.255.224?","64","1","2023-11-20T17:02:00.506004Z","58","1.883","2023-11-20T17:02:00.506004Z"
"Others"," The tool shown in the figure is used for testing","65","1","2023-11-20T17:02:14.197833Z","59","13.271","2023-11-20T17:02:14.197833Z"
"Computer Networks"," Which technology enables access to the Internet and reception of digital TV channels?","66","1","2023-11-20T17:02:26.930199Z","60","12.301","2023-11-20T17:02:26.930199Z"
"Computer Networks"," The internal routing protocol, based on link state analysis, is","67","1","2023-11-20T17:02:29.748422Z","61","2.416","2023-11-20T17:02:29.748422Z"
"Computer Networks"," To enable operation in logically separated, smaller subnets in a computer network, the switch must be configured","68","1","2023-11-20T17:02:32.698277Z","62","2.549","2023-11-20T17:02:32.698277Z"
"Peripherals"," Which consumable is not used in plotters?","69","1","2023-11-20T17:02:40.882038Z","63","7.793","2023-11-20T17:02:40.882038Z"
"Operating Systems or Administration"," To clear the domain name cache in Windows, use the command","70","1","2023-11-20T17:02:45.198346Z","64","3.923","2023-11-20T17:02:45.198346Z"
"Operating Systems or Administration","The command for displaying and modifying IP address to physical address translation tables is","71","1","2023-11-20T17:09:22.834023Z","65","79.104","2023-11-20T17:09:22.834023Z"
"Computer Networks"," Which program does not allow you to test your computer network to identify faults?","72","1","2023-11-20T17:09:53.580153Z","66","30.256","2023-11-20T17:09:53.580153Z"
"Computer Networks"," The device shown in the drawing along with its technical specifications can be used for cabling measurements","73","1","2023-11-20T17:10:12.248530Z","67","18.178","2023-11-20T17:10:12.248530Z"
"Others"," Indicate the effect of the presented command.","74","1","2023-11-20T17:10:19.529201Z","68","6.804","2023-11-20T17:10:19.529201Z"
"Operating Systems or Administration"," Which Linux command does not allow you to perform hardware diagnostics?","75","1","2023-11-20T17:10:22.220460Z","69","2.245","2023-11-20T17:10:22.220460Z"
"Operating Systems or Administration"," In Windows, you can check the graphics card parameters using the command","76","1","2023-11-20T17:10:28.074675Z","70","5.371","2023-11-20T17:10:28.074675Z"
"Operating Systems or Administration"," Which Linux utility displays hardware information stored in the BIOS?","77","1","2023-11-20T17:10:30.721380Z","71","2.061","2023-11-20T17:10:30.721380Z"
"Operating Systems or Administration"," The existing user account is modified with the net user command. To force a password change after the user logs in again, add a parameter to the command","78","1","2023-11-20T17:10:34.253227Z","72","3.089","2023-11-20T17:10:34.253227Z"
"Operating Systems or Administration","The command shown was issued by the Operating System Administrator during manual configuration of the network interface. The result of this command is:","79","1","2023-11-20T17:10:37.546282Z","73","2.855","2023-11-20T17:10:37.546282Z"
"Computer Networks"," To set static routing to the 192.168.10.0 network, issue the command","80","1","2023-11-20T17:10:45.469366Z","74","7.475","2023-11-20T17:10:45.469366Z"
"Operating Systems or Administration"," Updating Windows is possible with the command","81","1","2023-11-20T17:10:50.815047Z","75","4.858","2023-11-20T17:10:50.815047Z"
"Operating Systems or Administration"," On Linux, the tty command allows you to do this","82","1","2023-11-20T17:10:55.405054Z","76","4.173","2023-11-20T17:10:55.405054Z"
"Operating Systems or Administration"," To map a directory shared on a computer network in Linux, use the command","83","1","2023-11-20T17:10:58.682163Z","77","2.829","2023-11-20T17:10:58.682163Z"
"Operating Systems or Administration"," On Linux, to change the default home directory to /users/home/new for newly created users, use the command","84","1","2023-11-20T17:11:00.702940Z","78","1.545","2023-11-20T17:11:00.702940Z"
"Computer Networks"," The protocol operating in the application layer of the TCP/IP model is","85","1","2023-11-20T17:11:05.065293Z","79","3.909","2023-11-20T17:11:05.065293Z"
"Operating Systems or Administration"," The Linux iftop program is used for:","86","1","2023-11-20T17:11:14.813767Z","80","9.326","2023-11-20T17:11:14.813767Z"
"Informatics Basics"," Point to the picture showing the symbol of a NOT logic gate.","87","1","2023-11-20T17:11:20.532380Z","81","5.275","2023-11-20T17:11:20.532380Z"
"Computer"," The image shows the traffic light designation in the laptop's technical documentation. Select the number representing the light that comes on when the battery is charging.","88","1","2023-11-20T17:11:32.755042Z","82","11.782","2023-11-20T17:11:32.756032Z"
"Computer","Indicate the correct sequence of steps to install the processor in the LGA socket on a new motherboard, disconnected from the power source.","89","1","2023-11-20T17:11:36.999577Z","83","3.793","2023-11-20T17:11:36.999577Z"
"Operating Systems or Administration"," In Ubuntu or SuSE Linux graphical mode, programs can be used to install system software updates","90","1","2023-11-20T17:12:15.664605Z","84","38.196","2023-11-20T17:12:15.664605Z"
"Operating Systems or Administration"," To perform an unattended installation on Windows, you must prepare a response file named","91","1","2023-11-20T17:12:18.528242Z","85","2.44","2023-11-20T17:12:18.528242Z"
"Operating Systems or Administration"," After installing Linux, the user wants to configure the network card by entering network configuration settings. This is possible by editing the file","92","1","2023-11-20T17:12:21.630257Z","86","2.631","2023-11-20T17:12:21.630257Z"
"Legal"," A license for a computer program distributed for free with functionality limited by the manufacturer compared to the full, paid version, where after a period of 30 days advertisements and reminders to register appear, is called","93","1","2023-11-20T17:12:35.515112Z","87","13.441","2023-11-20T17:12:35.515112Z"
"Computer Networks"," one transmission at a time  all devices connected to the network listen during transmission and receive only packets addressed to them  cable damage is difficult to locate  the network may stop working if the main cable is damaged at any point Features of which physical network topology are described in the box?","94","1","2023-11-20T17:12:42.134105Z","88","6.159","2023-11-20T17:12:42.134105Z"
"Computer Networks"," The wiring symbol in the diagram indicates a cable","95","1","2023-11-20T17:13:28.314745Z","89","45.709","2023-11-20T17:13:28.314745Z"
"Computer Networks"," The use of a 20-meter-long Category 6 twisted-pair cable (CAT 6) in a LAN network indicates its maximum throughput is equal to","96","1","2023-11-20T17:13:30.515812Z","90","1.745","2023-11-20T17:13:30.515812Z"
"Computer Networks"," Indicate the application layer protocol for receiving e-mail, which in the first phase downloads message headers, and their content and attachments are downloaded only after opening the e-mail.","97","1","2023-11-20T17:13:34.980277Z","91","4.001","2023-11-20T17:13:34.980277Z"
"Computer"," Keystone should be used to connect (sew) the cable in the module","98","1","2023-11-20T17:13:41.748205Z","92","6.35","2023-11-20T17:13:41.748205Z"
"Computer Networks"," The broadcast address in the subnet with the IPv4 address 192.168.160.0/21 is","99","1","2023-11-20T17:13:44.168465Z","93","1.954","2023-11-20T17:13:44.168465Z"
"Computer Networks","In IPv6 addressing, the use of a double colon is used for","100","1","2023-11-20T17:13:46.212129Z","94","1.649","2023-11-20T17:13:46.212129Z"
"Computer Networks"," ping ………… 192.168.11.3 What should I type in place of the dots to increase the default time interval between ping packet transmissions on Linux?","101","1","2023-11-20T17:13:48.415410Z","95","1.788","2023-11-20T17:13:48.415410Z"
"Peripherals"," A printer designed for printing labels and barcodes, which prints by melting the coating of a special tape, as a result of which the dye from it is glued to the material on which the printing takes place, is a printer","102","1","2023-11-20T17:13:55.796855Z","96","6.945","2023-11-20T17:13:55.796855Z"
"Peripherals"," To connect a dot matrix printer with the presented parameters to a computer, attach the cable included with the printer to the port","103","1","2023-11-20T17:14:00.798248Z","97","4.57","2023-11-20T17:14:00.798248Z"
"Operating Systems or Administration"," In Windows Professional, use the tab to configure the printer's availability time","104","1","2023-11-20T17:14:03.581857Z","98","2.412","2023-11-20T17:14:03.581857Z"
"Peripherals"," The basic operation of a dot matrix printer is replacing the container","105","1","2023-11-20T17:14:29.425967Z","99","4.154","2023-11-20T17:14:29.425967Z"
"Operating Systems or Administration"," In Linux, you can use the program to monitor the operation of the network, network devices and servers","106","1","2023-11-20T17:14:31.632193Z","100","1.762","2023-11-20T17:14:31.632193Z"
"Computer Networks","Switch> Which of the following can be done when configuring a CISCO switch in the CLI, without going into privileged mode, at the access level shown in the frame?","107","1","2023-11-20T17:14:34.614167Z","101","2.518","2023-11-20T17:14:34.614167Z"
"Computer Networks"," To hide the wireless network ID, change its configuration in the field marked with a number in the router","108","1","2023-11-20T17:14:40.181837Z","102","5.144","2023-11-20T17:14:40.181837Z"
"Computer Networks"," Configuring static routing on a router involves:","109","1","2023-11-20T17:14:42.098078Z","103","1.468","2023-11-20T17:14:42.098078Z"
"Computer"," Indicate a kit used to diagnose logical electronic circuits located on the motherboard of a computer that does not respond to attempts to turn on the power.","110","1","2023-11-20T17:14:46.115047Z","104","3.59","2023-11-20T17:14:46.115047Z"
"Computer"," To repair a laptop power supply by replacing capacitors, use:","111","1","2023-11-20T17:14:50.231205Z","105","3.738","2023-11-20T17:14:50.231205Z"
"Operating Systems or Administration"," To extract the data contained in an archive named data.tar, a Linux user should use the command","112","1","2023-11-20T17:14:53.843706Z","106","3.204","2023-11-20T17:14:53.843706Z"
"Peripherals"," Longitudinal bands and repeating artifacts may be observed in laser printer printouts. A possible cause of poor print quality is a fault","113","1","2023-11-20T17:14:59.390615Z","107","5.138","2023-11-20T17:14:59.390615Z"
"Operating Systems or Administration","/dev/sda: Timing cached reads: 18100 MB in 2.00 seconds = 9056.95 MB/sec The presented Linux command result is for diagnostic purposes","114","1","2023-11-20T17:15:02.998610Z","108","3.204","2023-11-20T17:15:02.998610Z"
"Computer"," The operating system has been attacked by spyware. Once the faults are fixed, it is recommended to avoid another attack","115","1","2023-11-20T17:15:09.360194Z","109","5.9","2023-11-20T17:15:09.360194Z"
"Others"," Indicate the gross fee for performing the service activities listed in the table if the cost of one man-hour is PLN 120.00 net and the VAT rate is 23%.","116","1","2023-11-20T17:15:14.322534Z","110","4.52","2023-11-20T17:15:14.322534Z"
"Operating Systems or Administration"," To have the Calculator program run automatically when you start Windows, you need to configure it","117","1","2023-11-20T17:15:17.743865Z","111","3.012","2023-11-20T17:15:17.743865Z"
"Operating Systems or Administration"," The command was used to check the presented configuration of network interfaces on Linux","118","1","2023-11-20T17:15:20.898624Z","112","2.705","2023-11-20T17:15:20.898624Z"
"Operating Systems or Administration"," Point to the Linux command to check which directory a user is in.","119","1","2023-11-20T17:15:24.431454Z","113","3.104","2023-11-20T17:15:24.431454Z"
"Operating Systems or Administration"," In Windows systems, the EFS system is used to secure data by","120","1","2023-11-20T17:15:26.864716Z","114","1.946","2023-11-20T17:15:26.865264Z"
"Operating Systems or Administration","The Windows Server service for remote installation of operating systems on computers managed by the server is","121","1","2023-11-20T17:15:28.897831Z","115","1.611","2023-11-20T17:15:28.897831Z"
"Operating Systems or Administration"," Which server role should be added in the Windows Server family to create a new FTP site?","122","1","2023-11-20T17:15:32.532756Z","116","3.196","2023-11-20T17:15:32.532756Z"
"Operating Systems or Administration"," On Linux, use the command to lock the exam user's password","123","1","2023-11-20T17:15:36.270127Z","117","3.333","2023-11-20T17:15:36.270127Z"
"Operating Systems or Administration"," Point to the Windows Server command to remove an organizational unit from the directory.","124","1","2023-11-20T17:15:38.482469Z","118","1.75","2023-11-20T17:15:38.482469Z"
"Operating Systems or Administration"," In Linux, you can use the command to manage partition tables","125","1","2023-11-20T17:15:40.731967Z","119","1.817","2023-11-20T17:15:40.731967Z"
"Operating Systems or Administration"," To record successful and failed user logon attempts and disk resource operations in Windows Server, you must configure the log","126","1","2023-11-20T17:15:43.732346Z","120","2.554","2023-11-20T17:15:43.732346Z"
"Informatics Basics"," The ratio of the charge stored on a conductor to the potential of that conductor determines its potential","127","1","2023-11-20T17:15:53.964474Z","121","9.823","2023-11-20T17:15:53.964474Z"
"Computer"," It is an active electronic component","128","1","2023-11-20T17:15:59.290272Z","122","4.895","2023-11-20T17:15:59.290272Z"
"Computer","Identify the element that adjusts the voltage level from the power grid using a transformer that transfers energy from one electrical circuit to another using the phenomenon of magnetic induction.","129","1","2023-11-20T17:16:07.848221Z","123","8.1","2023-11-20T17:16:07.848221Z"
"Computer"," In the motherboard diagram included in the laptop documentation, the connectors are marked with numbers 8 and 9","130","1","2023-11-20T17:16:10.634108Z","124","2.308","2023-11-20T17:16:10.634108Z"
"Computer"," The video capture card shown will work with a motherboard equipped with a port","131","1","2023-11-20T17:16:13.774892Z","125","2.741","2023-11-20T17:16:13.774892Z"
"Operating Systems or Administration"," During the installation of Windows, right after running the installer in graphical mode, it is possible to launch the Command Line (console) using a combination of buttons","132","1","2023-11-20T17:16:15.756881Z","126","1.533","2023-11-20T17:16:15.756881Z"
"Operating Systems or Administration"," After installing Windows 10, to set up an Internet connection with a data limit, you need to set the connection in the network and Internet settings","133","1","2023-11-20T17:16:19.147744Z","127","2.954","2023-11-20T17:16:19.147915Z"
"Operating Systems or Administration"," An access license in Windows Server that allows workstation users to use the server's services is a license","134","1","2023-11-20T17:16:42.916276Z","128","23.297","2023-11-20T17:16:42.916276Z"
"Computer Networks"," A characteristic feature of star topology is","135","1","2023-11-20T17:16:45.414162Z","129","2.022","2023-11-20T17:16:45.414162Z"
"Computer Networks","The presented logical diagram shows the networks","136","1","2023-11-20T17:16:50.281824Z","130","4.461","2023-11-20T17:16:50.281824Z"
"Computer Networks"," What can you say about the structure of S/FTP twisted pair?","137","1","2023-11-20T17:16:53.448763Z","131","2.743","2023-11-20T17:16:53.448763Z"
"Others"," The tool presented is used for","138","1","2023-11-20T17:17:01.678800Z","132","7.798","2023-11-20T17:17:01.678800Z"
"Computer Networks"," Structured fiber optic cabling testing can be done using","139","1","2023-11-20T17:17:04.779568Z","133","2.675","2023-11-20T17:17:04.779568Z"
"Computer Networks"," The broadcast address in the subnet with the IPv4 address 192.168.0.0/20 is","140","1","2023-11-20T17:17:06.398777Z","134","1.199","2023-11-20T17:17:06.398777Z"
"Computer Networks"," In IPv6 addressing, the address ff00::/8 specifies","141","1","2023-11-20T17:17:07.921907Z","135","1.087","2023-11-20T17:17:07.921907Z"
"Computer Networks"," Indicate the maximum number of host addresses that can be used in each of the 8 equal subnets separated from the computer network with the address 10.10.10.0/24.","142","1","2023-11-20T17:17:09.492499Z","136","1.111","2023-11-20T17:17:09.492499Z"
"Others"," The information presented on the printout was displayed as a result of the call","143","1","2023-11-20T17:17:50.499689Z","137","40.55","2023-11-20T17:17:50.499689Z"
"Computer Networks"," A network device operating in the second layer of the OSI model, in which a signal based on the analysis of the MAC address of the sender and recipient is sent to the port connected to the device receiving data, is","144","1","2023-11-20T17:17:57.282380Z","138","6.355","2023-11-20T17:17:57.282380Z"
"Computer"," The socket for your interactive whiteboard is marked with the symbol shown. Which connector should you use to connect the board to the computer?","145","1","2023-11-20T17:18:00.749214Z","139","2.999","2023-11-20T17:18:00.749214Z"
"Operating Systems or Administration","To change the port of an installed printer in Windows, use the function","146","1","2023-11-20T17:18:06.675091Z","140","5.449","2023-11-20T17:18:06.675091Z"
"Peripherals","Identify the maintenance action to perform if your inkjet print results in streaks, incorrect print colors, or missing colors.","147","1","2023-11-20T17:18:17.498826Z","141","10.32","2023-11-20T17:18:17.498907Z"
"Computer Networks"," The presented tool for monitoring LAN networks is","148","1","2023-11-20T17:18:25.568848Z","142","7.634","2023-11-20T17:18:25.568848Z"
"Computer Networks"," To check the condition of the connected cable and diagnose the distance from the point of network failure, use the switch function marked with a number","149","1","2023-11-20T17:18:28.572320Z","143","2.521","2023-11-20T17:18:28.572320Z"
"Computer Networks"," When configuring the router, to enter the connection parameters provided by your Internet provider, select the area marked with a number","150","1","2023-11-20T17:19:04.615132Z","144","35.58","2023-11-20T17:19:04.615132Z"
"Computer"," Use for cleaning optical systems in computer equipment","151","1","2023-11-20T17:19:23.850684Z","145","18.79","2023-11-20T17:19:23.850684Z"
"Computer"," An antistatic mat and band are used when assembling the component in the target","152","1","2023-11-20T17:19:27.273362Z","146","3.016","2023-11-20T17:19:27.273362Z"
"Operating Systems or Administration"," In Windows Server, sharing a folder as a network resource, visible on the workstation as a drive marked with a letter, is possible by performing the operation","153","1","2023-11-20T17:19:48.373146Z","147","20.651","2023-11-20T17:19:48.373146Z"
"Operating Systems or Administration","/dev/sda: Timing cached reads: 18100 MB in 2.00 seconds = 9056.95 MB/sec The presented Linux command result is for diagnostic purposes","154","1","2023-11-20T17:19:54.115161Z","148","5.256","2023-11-20T17:19:54.115161Z"
"Operating Systems or Administration"," You can use the command to identify the size of free and used physical memory in Linux","155","1","2023-11-20T17:19:56.998697Z","149","2.447","2023-11-20T17:19:56.998697Z"
"Others"," Indicate the gross cost of the services performed by the service technician, if the invoice also includes the travel cost of PLN 55.00 net.","156","1","2023-11-20T17:20:01.193524Z","150","3.758","2023-11-20T17:20:01.193524Z"
"Operating Systems or Administration","Linux Ubuntu was installed on a disk next to Windows. To configure the order in which the operating systems start, you must modify the content","157","1","2023-11-20T17:20:03.228216Z","151","1.609","2023-11-20T17:20:03.228216Z"
"Operating Systems or Administration"," Using the ipconfig /renew command when configuring network interfaces will result","158","1","2023-11-20T17:20:07.915738Z","152","4.259","2023-11-20T17:20:07.915738Z"
"Operating Systems or Administration"," The command is used to schedule tasks in Linux","159","1","2023-11-20T17:20:11.248968Z","153","2.924","2023-11-20T17:20:11.248968Z"
"Operating Systems or Administration"," Executing the dxdiag command on Windows will enable","160","1","2023-11-20T17:20:13.281993Z","154","1.577","2023-11-20T17:20:13.281993Z"
"Operating Systems or Administration"," AppLocker is a tool in Windows Server systems used for","161","1","2023-11-20T17:20:15.430047Z","155","1.701","2023-11-20T17:20:15.430047Z"
"Operating Systems or Administration"," The Windows server system shows an IPv4 address range. The indicated icon next to its name means that","162","1","2023-11-20T17:20:20.515972Z","156","4.691","2023-11-20T17:20:20.515972Z"
"Operating Systems or Administration"," Point to the Linux command to display the user ID number.","163","1","2023-11-20T17:20:24.432599Z","157","3.417","2023-11-20T17:20:24.432599Z"
"Operating Systems or Administration"," Which Linux command can be used to change the default exam user shell to sh","164","1","2023-11-20T17:20:26.796963Z","158","1.9","2023-11-20T17:20:26.796963Z"
"Operating Systems or Administration"," The directory services tool in Windows Server systems used to redirect computers to an organizational unit specified by the administrator is the command","165","1","2023-11-20T17:20:28.826692Z","159","1.551","2023-11-20T17:20:28.826692Z"
